Gene,Degree
MX2,24
WNT5A,24
PTPN6,24
PGK1,24
RIPK1,24
GATA3,24
CD2,24
NUDC,24
PTBP1,24
CKAP5,24
FUS,24
NCOA3,24
RNF113A,24
OASL,24
PARK7,24
PRKCG,24
XPC,23
CASP1,23
WAS,23
GRIN2B,23
ANK2,23
GPX5,23
TUBB,23
REV3L,23
BRIP1,23
USP39,23
FGF7,23
E2F8,23
RNASEH2A,23
RAD21,23
POLD3,23
GBP1,23
FADD,23
NUP155,23
NUP93,23
FANCA,23
TROAP,23
NUP133,22
IFNAR1,22
CTCF,22
OAS3,22
SRP9,22
MAP3K5,22
CTTN,22
TEX10,22
YAP1,22
CCL21,22
SCN5A,22
CCR8,22
CXCL13,22
PPIH,22
RAC1,22
CX3CL1,22
BTF3,22
CBX7,22
SSRP1,22
MAPRE1,22
HDAC6,22
TIAM1,22
MAP2K1,22
CLU,22
NDUFA9,21
HDAC4,21
POLR2D,21
LSG1,21
TFIP11,21
POLR2G,21
COX5A,21
ACTL6A,21
ACLY,21
GSTM1,21
ADH7,21
FMR1,21
EFNB2,21
RBM28,21
CRK,21
NUP85,21
NCOA6,21
NUP205,21
TLN2,21
DVL3,21
LRP6,21
RAP1B,21
CFL1,21
SMC3,21
CXCL11,21
CCNF,21
GINS1,21
LGALS3,21
CAV3,21
HLA-A,21
PDHB,21
HK2,20
NUP160,20
HERC5,20
IRS2,20
CEBPA,20
HLA-B,20
CTNNBL1,20
CKAP2,20
ENO2,20
CBX8,20
AURKAIP1,20
CDH5,20
IL4R,20
NPY,20
MRPL28,20
MRPS34,20
MRPS30,20
MRPL52,20
IFI6,20
ITGA10,20
CKS1B,20
TKT,20
RYR2,20
GTF2H4,20
FBXW7,19
TRAF1,19
RFC1,19
TAF2,19
CASP7,19
RMI1,19
ILF3,19
ACAA1,19
NUP43,19
NUP88,19
EDN1,19
ICOS,19
CCND2,19
FGF9,19
GNAO1,19
ANGPT1,19
TAF5,19
RAD54L,19
HCFC1,19
DBF4,19
BID,19
PKMYT1,19
GTPBP6,19
DUT,18
FANCC,18
PPP2R5D,18
SUPT16H,18
KLRD1,18
FBXO5,18
ALDOA,18
CYP2A6,18
NUP210,18
CD247,18
THBS2,18
ADCY1,18
LPL,18
IFT88,18
SMC1A,18
MMP3,18
HLA-C,18
IFNGR1,18
PRKCZ,18
PGF,18
CDC25B,18
ILF2,18
SHMT2,18
EED,18
GSTA1,18
ITGA9,18
SFN,18
TFRC,18
DAG1,18
DDX46,18
EGR1,18
FGF4,17
ADAM10,17
HSPB8,17
PLCB4,17
DNMT3B,17
CCNT1,17
ADH1C,17
RTP4,17
TNFAIP3,17
NCOA1,17
PRKG1,17
CDC73,17
CD47,17
DNMT3A,17
DENR,17
TPM3,17
LCP2,17
RBBP5,17
PSMF1,17
HSPA2,17
MAD1L1,17
GATA4,17
ACOX3,17
ATP2A2,17
UMPS,17
AHCTF1,17
UBE2L6,17
TFDP1,17
MNAT1,17
RBL1,17
GRIA2,17
IRAK1,17
DYNLL1,17
DHFR,17
NDUFS6,17
SENP3,17
IL2RB,17
PRKCE,17
GSTA4,17
IL2RG,17
SREBF1,17
IL1R1,17
ALDOB,17
YWHAH,17
GSTM3,17
SFPQ,17
CACNA1S,17
XRCC4,17
IFNA21,17
SDF2L1,17
RAD23A,17
PARP2,17
CCL25,17
ALDH2,17
NOTCH2,17
CCL13,17
FGF13,16
PIK3R5,16
RBM19,16
VIM,16
ADCY2,16
PFN1,16
EFNA1,16
FZD1,16
LRP1,16
FBN1,16
CBFB,16
IFNA10,16
NDUFA2,16
ADCY7,16
PRPF40A,16
NONO,16
NLGN1,16
WNT11,16
E2F2,16
ADAR,16
PLXNA1,16
TXNL4B,16
NUP188,16
GSTM5,16
HSDL2,16
ATP12A,16
FOXA1,16
CACNG2,16
LRP2,16
ENY2,16
SELP,16
LAMA2,16
PIAS1,16
MMP1,16
NCK2,16
CISH,16
AP2M1,16
SDHD,16
MAOB,16
NT5M,16
MFN2,16
DNAJA1,16
HLA-F,16
CCL22,16
PFKM,16
GLUD1,16
HSPE1,16
ZWILCH,16
NT5C2,16
KHSRP,16
RELB,15
DDX27,15
PRL,15
RHOB,15
COX7C,15
EXOSC8,15
BCL11B,15
GDNF,15
SFRP1,15
FZD7,15
PCNT,15
PAPOLA,15
NFKB2,15
SAMHD1,15
GSN,15
DCTN2,15
AOX1,15
LMNB1,15
ALDOC,15
PLCD1,15
FANCG,15
CACNA1H,15
CASK,15
PYGM,15
SCP2,15
DIABLO,15
PABPN1,15
SMARCC2,15
IL24,15
RCC1,15
SMAD7,15
E2F3,15
LDHC,15
GSTM2,15
PRDX1,15
VPS35,15
PRDX6,15
GSTM4,15
RHO,15
LAMC3,15
UPF3B,15
IFNAR2,15
NIPBL,15
RAB5A,15
SHMT1,15
DCP2,15
VEGFC,15
BST2,15
GPT,15
LOR,15
GIT1,14
EFNA3,14
EFNB3,14
STX1A,14
TRPC1,14
PRF1,14
